id_tx,id_cliente,id_ciudad,categoria,monto,fecha
1,726,2,mercado,56.2,2025-08-10
2,157,2,hogar,72.73,2025-06-21
3,41,1,electronica,89.46,2025-06-15
4,544,3,electronica,64.41,2025-05-27
5,480,1,electronica,220.36,2025-06-24
6,259,1,deportes,22.59,2025-01-06
7,412,5,mercado,68.6,2025-03-05
8,60,1,electronica,209.38,2025-12-04
9,294,1,ropa,13.65,2025-02-27
10,125,3,electronica,616.55,2025-02-20
11,229,4,deportes,34.11,2025-09-28
12,257,5,electronica,1681.6,2025-04-22
13,624,3,mercado,27.01,2025-11-01
14,591,2,ropa,46.44,2025-08-13
15,690,2,hogar,577.76,2025-05-25
16,39,1,electronica,76.67,2025-12-07
17,532,4,ropa,105.17,2025-03-22
18,620,2,electronica,340.79,2025-12-18
19,432,7,ropa,16.97,2025-06-16
20,80,2,ropa,7.94,2025-05-13
21,539,3,mercado,20.4,2025-04-18
22,403,2,ropa,40.34,2025-10-18
23,128,1,electronica,17.61,2025-05-05
24,27,2,juguetes,118.98,2025-07-25
25,722,2,hogar,765.29,2025-01-27
26,741,2,juguetes,52.43,2025-03-20
27,102,2,libros,24.5,2025-04-04
28,313,1,hogar,9.91,2025-01-23
29,248,1,electronica,259.88,2025-12-06
30,215,1,electronica,25.05,2025-04-20
31,689,2,juguetes,13.71,2025-07-06
32,393,3,mercado,56.09,2025-08-05
33,600,2,deportes,28.97,2025-06-22
34,130,2,deportes,71.09,2025-11-15
35,139,4,electronica,524.88,2025-04-13
36,406,3,electronica,88.1,2025-09-21
37,793,1,electronica,918.59,2025-09-18
38,635,4,mercado,17.76,2025-05-12
39,531,2,electronica,143.66,2025-11-03
40,139,2,libros,47.2,2025-04-18
41,750,3,mercado,29.92,2025-07-01
42,250,1,deportes,98.27,2025-07-09
43,64,1,deportes,77.81,2025-02-23
44,337,4,electronica,346.45,2025-04-06
45,187,2,mercado,22.74,2025-02-06
46,147,1,mercado,22.24,2025-07-04
47,6,4,electronica,159.28,2025-05-11
48,409,1,electronica,179.56,2025-11-09
49,613,2,mercado,45.18,2025-11-07
50,377,1,ropa,245.77,2025-11-10
51,258,2,ropa,9.46,2025-06-22
52,395,4,libros,41.97,2025-12-11
53,479,2,mercado,35.23,2025-02-22
54,263,1,electronica,208.53,2025-07-26
55,797,3,electronica,210.15,2025-06-06
56,190,3,electronica,97.12,2025-09-19
57,119,1,mercado,7.68,2025-05-14
58,392,3,mercado,6.88,2025-12-25
59,491,1,electronica,173.98,2025-11-01
60,339,2,electronica,159.21,2025-03-23
61,92,1,hogar,28.68,2025-01-25
